Moscow,Clear,"clear sky",14.59
"Saint Petersburg",Clear,"clear sky",14.15
Novosibirsk,Clouds,"broken clouds",11.61
Ekaterinburg,Clear,"clear sky",8.77
Kazan’,Rain,"light rain",17.34
