Moscow
Clouds
"scattered clouds"
18.44
"Saint Petersburg"
Clouds
"few clouds"
19.15
Novosibirsk
Clear
"clear sky"
7.61
Ekaterinburg
Clear
"clear sky"
13.77
Kazan’
Clouds
"overcast clouds"
18.34
