Moscow
Clouds
"broken clouds"
15.69
"Saint Petersburg"
Clear
"clear sky"
15.15
Novosibirsk
Clear
"clear sky"
5.61
Ekaterinburg
Clear
"clear sky"
8.77
Kazan’
Clouds
"broken clouds"
16.34
